timestamp,media_id,carousel_id,slides,caption_preview,scheduled_for
2026-05-05T17:23:48,18467118778102149,17933982981246899,"37.png, 37.2.png, 37.3.png, 37.4.png, 37.5.png, 37.6.png",Z1 (50-60% FCmax) é recuperação. Z2 (60-70%) é onde o corredor cresce. Z3 (70-80%) é a armadilha — confortável demais pr,
2026-05-08T11:54:11,18167126410424388,17934363897246899,static,maratona_rio_2026_t30,maratona_rio_2026_t30.png,"30 dias pra largada da Maratona do Rio. percurso clássico passa pelo Aterro do Flamengo, Copacabana e Ipanema com Cristo",
2026-05-08T11:54:19,18136481275534325,17934363912246899,story,maratona_rio_2026_t30_story,maratona_rio_2026_t30.png,,
2026-05-11T09:41:19,18096788777136255,17934812568246899,carousel,roka_maverick_ii,"roka_maverick_ii.png, roka_maverick_ii.2.png",roka maverick ii. acaba de lançar.  5mm no torso — exatamente no limite máximo permitido em prova ironman e 70.3. yamamo,
2026-05-11T11:02:05,18111656374871117,17934823176246899,reel,reel_modalidades,reel_modalidades.mp4,Três modalidades. Um processo.  Natação te ensina paciência. Bike te ensina ritmo. Corrida te ensina honestidade.  Nenhu,
2026-05-11T15:15:46,18418987504193940,17934853977246899,carousel,forerunner_amoled,"forerunner_amoled.png, forerunner_amoled.2.png, forerunner_amoled.3.png, forerunner_amoled.4.png, forerunner_amoled.5.png","qual forerunner é o seu?  4 amoled, 4 perfis. de r$ 2.499 a r$ 8.999 — e a diferença não é só preço.  165 — entry amoled",
2026-05-13T15:37:24,18225594148313415,17935132932246899,carousel,oura_ring_gen4,"oura_ring_gen4.png, oura_ring_gen4.2.png, oura_ring_gen4.3.png, oura_ring_gen4.4.png, oura_ring_gen4.5.png",oura ring gen 4 — o anel que sente antes de você.  titânio integral. sensores recessed. 8 dias de bateria. 6 acabamentos,
2026-05-14T13:31:38,17964029325112235,17935260939246899,carousel,geis_br,"geis_br.png, geis_br.2.png, geis_br.3.png, geis_br.4.png, geis_br.5.png, geis_br.6.png","qual gel acelera sua corrida?  Carboidrato não é carboidrato. Razão de açúcares, sódio, cafeína e tecnologia de absorção",
2026-05-18T09:13:48,18095377564937034,17935817280246899,carousel,recovery_tipos,"recovery_tipos.png, recovery_tipos.2.png, recovery_tipos.3.png, recovery_tipos.4.png, recovery_tipos.5.png, recovery_tipos.6.png","recovery — qual modalidade você precisa hoje?  4 mecanismos, 4 alvos diferentes. Cada um age num sistema do corpo — esco",
2026-05-25T09:29:41,18164325853429228,17936877270246899,carousel,super_shoes_2026,"super_shoes_2026.png, super_shoes_2026.2.png, super_shoes_2026.3.png, super_shoes_2026.4.png, super_shoes_2026.5.png",super-shoes 2025/2026 — qual é o seu race day?  4 placas de carbono. 4 estratégias diferentes. de r$ 1.099 a r$ 2.499 — ,
2026-05-27T14:23:00,18103515301826031,17937228075246899,carousel,wearables_2026,"wearables_2026.png, wearables_2026.2.png, wearables_2026.3.png, wearables_2026.4.png, wearables_2026.5.png",4 marcas dominam o mercado endurance hoje. Cada uma com proposta diferente — e o erro caro é comprar pelo hype.  garmin ,
